q_id,web_list
93,"[1762, 1758, 1015, 1264, 1785]"
94,"[1705, 1704, 1113, 454, 1761]"
95,"[1066, 1041, 1040, 1030, 1034]"
96,"[1705, 1704, 1762, 1760, 1758]"
97,"[1264, 398, 411, 1769, 574]"
98,"[1071, 1807, 1748, 1253, 868]"
99,"[332, 618, 1121, 393, 1022]"
100,"[1705, 1704, 1066, 1040, 1030]"
101,"[1705, 1704, 1148, 1091, 369]"
102,"[1705, 1704, 374, 1766, 334]"
103,"[1705, 1704, 1068, 773, 165]"
104,"[1704, 1705, 454, 291, 455]"
105,"[285, 7, 618, 1116, 277]"
106,"[365, 322, 1008, 1014, 329]"
107,"[1812, 1811, 398, 1769, 1264]"
108,"[393, 1022, 638, 442, 1895]"
109,"[411, 412, 1001, 562, 564]"
110,"[1705, 1704, 374, 1915, 1916]"
111,"[1705, 1704, 1077, 303, 1106]"
112,"[1704, 928, 1029, 925, 1705]"
113,"[1704, 1705, 1752, 83, 303]"
114,"[1915, 101, 1091, 83, 303]"
115,"[1704, 1705, 1103, 361, 1148]"
116,"[165, 1034, 1040, 1753, 1025]"
117,"[1116, 1176, 277, 1705, 1704]"
118,"[374, 1704, 340, 1705, 334]"
119,"[1705, 1704, 1760, 1677, 1721]"
120,"[1132, 603, 806, 1131, 1057]"
121,"[374, 1137, 699, 1724, 1068]"
122,"[1705, 1704, 1758, 1762, 564]"
123,"[1041, 175, 938, 166, 935]"
124,"[1704, 1705, 1759, 1800, 303]"
125,"[1705, 344, 1704, 276, 1190]"
126,"[1705, 1704, 1787, 92, 1790]"
127,"[1705, 1704, 165, 1025, 937]"
128,"[1704, 1705, 454, 455, 1907]"
129,"[374, 1137, 783, 1160, 819]"
130,"[1025, 937, 159, 377, 1202]"
131,"[440, 836, 1721, 1704, 1190]"
132,"[1705, 1704, 1795, 1907, 1037]"
133,"[1704, 1705, 1760, 1761, 1762]"
134,"[1705, 1704, 1029, 935, 1040]"
135,"[1704, 1705, 374, 334, 819]"
136,"[1022, 332, 1175, 325, 618]"
137,"[1800, 1779, 1704, 861, 1092]"
138,"[1704, 1705, 1907, 698, 1795]"
139,"[979, 985, 984, 983, 982]"
140,"[1753, 1762, 1758, 1769, 1776]"
141,"[1704, 1705, 1299, 938, 175]"
142,"[1704, 1705, 454, 1910, 1112]"
143,"[164, 1040, 1030, 1029, 165]"
144,"[1704, 1705, 1054, 1038, 1772]"
145,"[1297, 11, 1243, 24, 801]"
146,"[1057, 1015, 277, 1116, 618]"
147,"[1721, 165, 108, 1567, 398]"
148,"[440, 277, 1063, 1567, 43]"
149,"[277, 1274, 1092, 24, 310]"
150,"[344, 277, 836, 1147, 440]"
151,"[1915, 175, 165, 1749, 1068]"
152,"[1066, 1705, 1113, 1704, 1070]"
153,"[1704, 1705, 937, 159, 1029]"
154,"[285, 277, 1116, 1023, 575]"
155,"[1705, 1704, 1762, 1758, 1761]"
156,"[1752, 1015, 836, 1758, 575]"
157,"[1137, 363, 1916, 1066, 1705]"
158,"[1704, 1705, 1071, 1567, 103]"
159,"[1704, 1705, 1758, 1762, 1761]"
160,"[1704, 1705, 1052, 1042, 985]"
161,"[1704, 1705, 1758, 1762, 1761]"
162,"[1705, 1704, 1746, 1567, 1063]"
163,"[1705, 1704, 1721, 1760, 1761]"
164,"[1705, 1704, 1758, 1762, 1760]"
165,"[388, 344, 1761, 1773, 1121]"
166,"[1015, 1785, 1877, 1705, 1704]"
167,"[1570, 1877, 29, 1015, 1759]"
168,"[1054, 1705, 1704, 918, 979]"
169,"[969, 165, 1916, 952, 919]"
170,"[1721, 1705, 1704, 372, 108]"
171,"[1677, 1705, 1704, 1674, 374]"
172,"[1704, 1705, 1769, 1775, 1768]"
173,"[1704, 1705, 1297, 1122, 1527]"
174,"[1115, 313, 1028, 1064, 314]"
175,"[1073, 1028, 313, 922, 1116]"
176,"[1068, 1066, 1704, 341, 1164]"
177,"[1030, 918, 920, 1915, 901]"
178,"[1705, 1704, 1056, 379, 371]"
179,"[1770, 1028, 97, 1118, 411]"
180,"[303, 1091, 1125, 341, 1705]"
181,"[1800, 1759, 1704, 1779, 1803]"
182,"[818, 24, 1243, 1092, 564]"
183,"[295, 1064, 1091, 303, 1795]"
184,"[1297, 1704, 1705, 102, 334]"
185,"[175, 1705, 1704, 1795, 1913]"
186,"[1705, 1704, 1066, 1157, 1761]"
187,"[1064, 1705, 1704, 1627, 1526]"
188,"[1704, 1705, 1762, 1758, 1761]"
189,"[1705, 836, 1752, 1803, 1800]"
190,"[1705, 1704, 374, 1795, 1762]"
191,"[1066, 1705, 1704, 1753, 1907]"
192,"[1037, 410, 1202, 1041, 1705]"
193,"[1077, 108, 303, 1721, 1915]"
194,"[1705, 1704, 101, 1746, 102]"
195,"[1704, 1705, 1068, 1297, 102]"
196,"[1705, 1704, 1071, 291, 454]"
197,"[1704, 1705, 374, 334, 361]"
198,"[1704, 1705, 1066, 341, 303]"
199,"[1704, 1705, 969, 1758, 1738]"
200,"[1705, 1704, 1762, 1758, 1761]"
201,"[1705, 1704, 1753, 165, 1040]"
202,"[1705, 1704, 1915, 1041, 1040]"
203,"[1116, 1015, 618, 277, 285]"
204,"[374, 1705, 1704, 1137, 361]"
205,"[1704, 1705, 1762, 1758, 1761]"
206,"[1057, 277, 618, 1023, 1172]"
207,"[1704, 1705, 1113, 862, 454]"
208,"[1704, 1705, 1762, 1758, 692]"
209,"[409, 161, 97, 96, 89]"
210,"[211, 1705, 1704, 985, 984]"
211,"[1705, 1704, 1758, 1762, 1916]"
212,"[1071, 1705, 1704, 1748, 1762]"
213,"[1704, 1705, 698, 1904, 409]"
214,"[1705, 1704, 1724, 1068, 1762]"
215,"[1705, 1704, 836, 1064, 409]"
216,"[1064, 1907, 1910, 1705, 291]"
217,"[818, 1092, 861, 575, 574]"
218,"[1705, 1704, 1761, 1760, 478]"
219,"[7, 11, 1762, 1015, 1758]"
220,"[1758, 1760, 1766, 1761, 1015]"
221,"[334, 1129, 1704, 1705, 377]"
222,"[1704, 1705, 341, 362, 372]"
223,"[1705, 1704, 1774, 1066, 698]"
224,"[1705, 1704, 1774, 1769, 1721]"
225,"[1705, 1704, 1257, 1609, 1831]"
226,"[411, 618, 1567, 1513, 1063]"
227,"[938, 928, 165, 919, 1924]"
228,"[1705, 1704, 1762, 1758, 114]"
229,"[395, 334, 387, 108, 1721]"
230,"[1705, 1704, 1033, 1774, 1613]"
231,"[1173, 312, 1058, 1176, 313]"
232,"[1705, 1704, 1758, 583, 581]"
233,"[1704, 1705, 1758, 454, 455]"
234,"[1759, 1704, 1705, 1044, 774]"
235,"[1705, 1704, 1907, 688, 1746]"
236,"[1704, 1705, 454, 455, 257]"
237,"[1705, 1704, 1795, 1755, 1926]"
238,"[1704, 1705, 340, 567, 562]"
239,"[1704, 1705, 294, 1786, 435]"
240,"[277, 1705, 1704, 11, 1297]"
241,"[277, 1092, 1274, 1806, 575]"
242,"[1753, 1041, 175, 1705, 1704]"
243,"[1705, 1704, 1761, 1760, 698]"
244,"[1705, 1704, 1760, 89, 1762]"
245,"[1704, 1705, 1760, 1761, 1774]"
246,"[344, 1297, 289, 1116, 1067]"
247,"[1705, 1704, 1759, 1752, 1764]"
248,"[1015, 1297, 1063, 1567, 562]"
249,"[1704, 1705, 454, 455, 16]"
250,"[1752, 836, 1803, 1800, 575]"
251,"[1704, 1705, 1205, 79, 705]"
252,"[1705, 1704, 1830, 1871, 1831]"
253,"[618, 836, 277, 1705, 1704]"
254,"[1704, 1705, 1762, 1758, 1761]"
255,"[1704, 1705, 1753, 395, 334]"
256,"[1157, 372, 699, 1062, 1137]"
257,"[349, 1704, 1705, 1179, 819]"
258,"[481, 774, 625, 851, 1651]"
259,"[1066, 1068, 161, 97, 1125]"
260,"[1758, 7, 1762, 1760, 285]"
261,"[1704, 1705, 1769, 1795, 1774]"
262,"[1704, 1705, 1297, 1147, 1067]"
263,"[1704, 1705, 1025, 937, 159]"
264,"[395, 1705, 362, 108, 374]"
265,"[1705, 1704, 359, 356, 102]"
266,"[1526, 1567, 1753, 89, 628]"
267,"[1704, 1705, 692, 341, 1915]"
268,"[1704, 1705, 1761, 1762, 1758]"
269,"[175, 937, 1040, 165, 164]"
270,"[220, 1705, 1704, 836, 1803]"
271,"[165, 1029, 1753, 1154, 1025]"
272,"[1705, 1704, 211, 213, 219]"
273,"[1705, 1704, 341, 692, 343]"
274,"[1704, 1705, 1030, 1907, 1033]"
275,"[1704, 1705, 92, 1557, 1786]"
276,"[290, 1122, 1167, 1737, 1121]"
277,"[259, 1705, 1704, 1753, 356]"
278,"[440, 1188, 344, 1705, 1704]"
279,"[1752, 1760, 1762, 1758, 1761]"
280,"[1704, 1705, 334, 1721, 567]"
281,"[289, 272, 1713, 1779, 1068]"
282,"[1705, 1704, 1064, 321, 1746]"
283,"[1705, 1704, 372, 861, 73]"
284,"[1705, 1064, 175, 1704, 937]"
285,"[1705, 1704, 621, 441, 1513]"
286,"[329, 396, 1124, 1133, 1131]"
287,"[28, 801, 1063, 1567, 1001]"
288,"[1704, 1705, 773, 1297, 97]"
289,"[259, 1705, 1704, 1650, 913]"
290,"[1705, 1704, 1677, 1304, 128]"
291,"[1704, 1705, 1759, 1776, 1757]"
292,"[89, 1752, 1753, 759, 92]"
293,"[1752, 60, 1705, 420, 97]"
294,"[1753, 1025, 937, 159, 1749]"
295,"[1297, 408, 165, 1054, 1159]"
296,"[481, 1759, 1777, 1765, 1752]"
297,"[1705, 1704, 1037, 1034, 1041]"
298,"[1705, 1704, 1760, 1761, 1762]"
299,"[1015, 1758, 1762, 1570, 29]"
300,"[1705, 1704, 1916, 985, 984]"
301,"[1705, 1704, 374, 1129, 819]"
302,"[1705, 1704, 1760, 1762, 1758]"
303,"[1753, 1776, 1757, 1812, 1761]"
304,"[1758, 1762, 1704, 1760, 1705]"
305,"[1770, 1028, 1118, 1705, 1694]"
306,"[1190, 1172, 1705, 1704, 397]"
307,"[1705, 575, 567, 568, 562]"
308,"[1704, 1705, 1029, 1034, 921]"
309,"[618, 365, 1290, 278, 277]"
310,"[1705, 1704, 818, 1800, 1092]"
311,"[1704, 1705, 1301, 618, 1299]"
312,"[1570, 1015, 1752, 1762, 1758]"
313,"[1704, 1753, 1705, 481, 1759]"
314,"[1705, 1704, 441, 442, 1078]"
315,"[164, 1049, 923, 161, 928]"
316,"[374, 1704, 1705, 334, 377]"
317,"[1704, 1705, 1762, 1758, 1760]"
318,"[1705, 1704, 1758, 108, 1915]"
319,"[1704, 1705, 1762, 1761, 1760]"
320,"[1705, 1704, 1045, 1030, 1932]"
321,"[1762, 1758, 1915, 938, 1705]"
322,"[1705, 1704, 1297, 289, 18]"
323,"[211, 979, 985, 984, 983]"
324,"[1704, 455, 1705, 454, 862]"
325,"[1705, 1704, 1760, 1758, 1762]"
326,"[374, 1131, 1125, 1129, 1127]"
327,"[1705, 1704, 1071, 1807, 1748]"
328,"[1704, 1705, 341, 692, 1066]"
329,"[165, 1704, 1705, 567, 574]"
330,"[1704, 1705, 398, 108, 92]"
331,"[1705, 1704, 1758, 1762, 1760]"
332,"[1705, 1704, 1758, 1762, 372]"
333,"[1705, 1704, 334, 1137, 374]"
334,"[1705, 1704, 374, 1137, 1607]"
335,"[920, 1030, 952, 925, 1584]"
336,"[1770, 1028, 1925, 1118, 1705]"
337,"[165, 98, 1025, 937, 159]"
338,"[1705, 1704, 1030, 937, 165]"
339,"[1800, 1759, 1704, 1779, 1803]"
340,"[1705, 1704, 1760, 1761, 455]"
341,"[1800, 1803, 1297, 1570, 277]"
342,"[289, 98, 1653, 341, 1654]"
343,"[1721, 1705, 1067, 1758, 1704]"
344,"[277, 24, 1243, 618, 1092]"
345,"[1083, 1102, 1704, 1705, 329]"
346,"[108, 1705, 1704, 1721, 1762]"
347,"[1704, 1705, 1762, 1758, 692]"
348,"[1705, 1704, 211, 1915, 918]"
349,"[1705, 1704, 1113, 1067, 1760]"
350,"[1705, 1752, 1801, 1704, 7]"
351,"[1704, 1705, 1760, 1761, 1762]"
352,"[220, 24, 277, 1650, 734]"
353,"[1752, 83, 303, 1776, 1757]"
354,"[1705, 1704, 165, 1030, 1040]"
355,"[1721, 1752, 1704, 1705, 334]"
356,"[1704, 1042, 1030, 369, 1705]"
357,"[1762, 1758, 1704, 1705, 1761]"
358,"[1264, 398, 1776, 1757, 1769]"
359,"[1704, 1705, 698, 937, 335]"
360,"[1705, 1704, 1758, 409, 1620]"
361,"[1030, 1753, 1705, 1704, 1752]"
362,"[1705, 1704, 1758, 1620, 1041]"
363,"[1705, 1704, 1526, 321, 1064]"
364,"[1705, 1704, 164, 409, 1030]"
365,"[1704, 1705, 1052, 1029, 1202]"
366,"[1770, 1028, 1118, 1705, 102]"
367,"[1704, 1705, 108, 1137, 363]"
368,"[1034, 161, 1029, 1030, 166]"
369,"[1264, 398, 1265, 1769, 1687]"
370,"[344, 1148, 388, 1017, 1286]"
371,"[1704, 1705, 1721, 108, 374]"
372,"[1570, 29, 1015, 1877, 1762]"
373,"[1015, 7, 1001, 992, 567]"
374,"[1705, 1704, 1760, 1758, 1761]"
375,"[1570, 29, 1015, 1877, 1762]"
376,"[1705, 1704, 1071, 868, 1748]"
377,"[1705, 1704, 1915, 1344, 326]"
378,"[1705, 1704, 1762, 1758, 1761]"
379,"[1704, 1705, 291, 175, 163]"
380,"[1705, 1704, 1040, 937, 1029]"
381,"[1705, 1704, 699, 374, 1127]"
382,"[1705, 1704, 108, 1068, 1907]"
383,"[395, 1125, 374, 108, 377]"
384,"[163, 165, 1040, 1705, 1029]"
385,"[1705, 1704, 1758, 1762, 1760]"
386,"[7, 1001, 1513, 562, 564]"
387,"[862, 1705, 1704, 441, 1297]"
388,"[1176, 344, 277, 98, 1145]"
389,"[1037, 992, 1103, 1131, 1705]"
390,"[1704, 1705, 1091, 1915, 1297]"
391,"[1705, 1704, 1758, 1761, 1760]"
392,"[621, 220, 1015, 801, 11]"
393,"[692, 1068, 1001, 334, 341]"
394,"[285, 1116, 1023, 277, 1172]"
395,"[1705, 1704, 1774, 1769, 1721]"
396,"[1705, 1704, 1772, 542, 594]"
397,"[1721, 333, 257, 390, 455]"
398,"[1704, 1705, 1915, 1068, 773]"
399,"[1705, 1704, 937, 1753, 89]"
400,"[1704, 1705, 1769, 1774, 1775]"
401,"[1810, 1815, 1706, 1837, 1833]"
402,"[1704, 1705, 1762, 1761, 1760]"
403,"[1704, 1705, 1762, 1760, 1758]"
404,"[1264, 1776, 1757, 567, 575]"
405,"[1704, 1705, 758, 372, 480]"
406,"[1030, 1705, 1042, 1916, 1762]"
407,"[1704, 1705, 1795, 992, 1915]"
408,"[289, 377, 108, 1902, 333]"
409,"[1705, 1704, 1758, 718, 1762]"
410,"[1037, 1040, 1029, 165, 1041]"
411,"[692, 340, 1934, 1705, 1704]"
412,"[1705, 1704, 1762, 888, 1726]"
413,"[1049, 1042, 1030, 1917, 221]"
414,"[1705, 1704, 1513, 575, 562]"
415,"[1705, 1704, 1759, 1764, 1762]"
416,"[1705, 1704, 1910, 1147, 1762]"
417,"[1753, 1769, 1705, 1704, 1761]"
418,"[1154, 1026, 1014, 1705, 1704]"
419,"[1125, 918, 1129, 341, 1068]"
420,"[1753, 1704, 1705, 1752, 935]"
421,"[1705, 1704, 1756, 913, 1767]"
422,"[220, 1181, 801, 285, 1063]"
423,"[1758, 1015, 1762, 1785, 1760]"
424,"[374, 1705, 1704, 1137, 361]"
425,"[1066, 1137, 374, 1129, 395]"
426,"[1704, 1705, 1156, 1789, 1788]"
427,"[1704, 1705, 1910, 1297, 1050]"
428,"[259, 1785, 1704, 1705, 1319]"
429,"[773, 1068, 1137, 1907, 1050]"
430,"[1705, 1704, 1052, 1042, 979]"
431,"[1705, 1704, 361, 1822, 1837]"
432,"[1705, 1704, 1910, 102, 291]"
433,"[1705, 1704, 1753, 1776, 1757]"
434,"[1704, 1705, 1753, 1030, 937]"
435,"[1705, 1704, 1758, 1157, 1907]"
436,"[1704, 1705, 410, 1202, 1915]"
437,"[1705, 1704, 1795, 159, 1769]"
438,"[1774, 409, 1705, 1704, 340]"
439,"[1705, 1704, 1758, 1762, 1760]"
440,"[1705, 1704, 1037, 1034, 1041]"
441,"[11, 1762, 1015, 1758, 1760]"
442,"[344, 277, 1001, 1705, 1704]"
443,"[344, 1190, 1705, 1704, 277]"
444,"[277, 24, 1243, 1092, 564]"
445,"[1705, 1704, 1721, 575, 562]"
446,"[7, 11, 1297, 277, 1748]"
447,"[1704, 1705, 1758, 1068, 374]"
448,"[1704, 1705, 1068, 992, 1297]"
449,"[1071, 175, 1907, 1587, 98]"
450,"[1030, 1026, 1029, 1704, 166]"
451,"[374, 334, 1704, 1705, 1125]"
452,"[1705, 1704, 1037, 1752, 1041]"
453,"[1705, 1704, 1054, 395, 361]"
454,"[1752, 1049, 1705, 1704, 1025]"
455,"[259, 250, 1705, 1785, 726]"
456,"[1705, 1704, 102, 409, 1896]"
457,"[1704, 1916, 1705, 1915, 1030]"
458,"[1789, 1791, 1790, 1776, 1757]"
459,"[1705, 1704, 341, 1297, 362]"
460,"[1705, 1704, 985, 984, 983]"
461,"[11, 220, 1705, 1704, 7]"
462,"[1776, 1757, 1777, 1765, 1753]"
463,"[1704, 1705, 1924, 919, 1030]"
464,"[1704, 1705, 1068, 1270, 108]"
465,"[818, 1704, 1705, 1800, 1759]"
466,"[1705, 1704, 1761, 1068, 1609]"
467,"[1704, 1705, 1759, 1764, 1758]"
468,"[7, 11, 1762, 1758, 1015]"
469,"[277, 1176, 272, 279, 1121]"
470,"[365, 1704, 1705, 1008, 1071]"
471,"[1068, 1137, 1870, 1824, 1277]"
472,"[1001, 618, 1567, 110, 16]"
473,"[1029, 165, 937, 1025, 159]"
474,"[1705, 1704, 1753, 1915, 108]"
475,"[1705, 1704, 1915, 1068, 1066]"
476,"[1015, 1762, 1758, 1877, 1785]"
477,"[1091, 295, 1297, 1704, 1705]"
478,"[1705, 1704, 1066, 1030, 1041]"
479,"[1705, 1704, 1752, 1795, 461]"
480,"[374, 783, 1137, 1125, 819]"
481,"[1077, 1776, 1757, 334, 1875]"
482,"[1243, 411, 277, 1748, 564]"
483,"[1137, 374, 1129, 334, 1125]"
484,"[1070, 292, 1141, 338, 1762]"
485,"[1705, 1704, 1071, 1748, 868]"
486,"[374, 1705, 1704, 1137, 361]"
487,"[1704, 1705, 454, 1907, 455]"
488,"[1026, 161, 1034, 165, 1880]"
489,"[1176, 437, 440, 1705, 1704]"
490,"[1705, 1704, 1762, 1758, 1068]"
491,"[773, 1068, 102, 97, 762]"
492,"[368, 1155, 372, 1125, 819]"
493,"[1753, 1299, 927, 1045, 1044]"
494,"[1758, 1704, 1762, 1705, 321]"
495,"[285, 220, 1022, 7, 11]"
496,"[1916, 1050, 1738, 1160, 1042]"
497,"[1704, 1705, 374, 372, 1137]"
498,"[165, 937, 1029, 1040, 1025]"
499,"[1704, 1705, 1762, 1758, 1761]"
500,"[7, 11, 1058, 836, 220]"
501,"[440, 1704, 1881, 1705, 1123]"
502,"[1705, 1704, 818, 575, 18]"
503,"[1704, 1705, 1023, 1910, 1758]"
504,"[1705, 1704, 1030, 1066, 1041]"
505,"[1019, 340, 1131, 334, 1022]"
506,"[277, 618, 1057, 7, 1513]"
507,"[1649, 1076, 1704, 1705, 347]"
508,"[1704, 1705, 1916, 1068, 1066]"
509,"[1704, 1705, 937, 164, 409]"
510,"[7, 303, 1044, 1705, 1704]"
511,"[1705, 1704, 1113, 455, 454]"
512,"[1030, 1705, 1758, 1704, 1907]"
513,"[1705, 1704, 211, 979, 1041]"
514,"[1704, 1705, 699, 374, 1068]"
515,"[1705, 1704, 1030, 165, 164]"
516,"[1704, 1030, 1705, 1915, 1916]"
517,"[1202, 410, 1916, 919, 163]"
518,"[1752, 1037, 1040, 1704, 1041]"
519,"[1056, 1190, 381, 220, 1011]"
520,"[1705, 1762, 1758, 1704, 1760]"
521,"[818, 1092, 861, 575, 574]"
522,"[165, 1025, 937, 159, 98]"
523,"[1915, 1202, 211, 410, 1916]"
524,"[1705, 1704, 1049, 1030, 1046]"
525,"[1705, 1704, 108, 1915, 92]"
526,"[1916, 1705, 1704, 1068, 165]"
527,"[1704, 1705, 1029, 1037, 410]"
528,"[1172, 1179, 1125, 1727, 1023]"
529,"[7, 11, 1762, 1758, 1015]"
530,"[1071, 1705, 1704, 1748, 868]"
531,"[395, 1297, 1704, 1705, 1133]"
532,"[361, 1705, 1704, 1131, 374]"
533,"[1785, 259, 1705, 1704, 379]"
534,"[1148, 1103, 1093, 285, 1094]"
535,"[1068, 165, 98, 1916, 1160]"
536,"[1705, 1704, 1030, 1052, 211]"
537,"[1704, 1762, 1758, 1705, 1761]"
538,"[1131, 332, 1748, 404, 97]"
539,"[1704, 1705, 259, 1570, 1753]"
540,"[303, 1705, 1704, 1513, 575]"
541,"[1704, 1705, 361, 1299, 98]"
542,"[1704, 1705, 1910, 1760, 1761]"
543,"[1705, 1704, 1030, 1915, 410]"
544,"[1705, 1704, 1775, 1768, 1026]"
545,"[1155, 1704, 1705, 1125, 1029]"
546,"[175, 938, 1068, 918, 1705]"
547,"[1705, 1704, 1076, 1261, 430]"
548,"[277, 618, 7, 1057, 1243]"
549,"[1704, 1705, 1910, 454, 1760]"
550,"[1202, 410, 211, 149, 175]"
551,"[1705, 1704, 97, 96, 165]"
552,"[1705, 1704, 1795, 1758, 1761]"
553,"[374, 1705, 1704, 1137, 779]"
554,"[1137, 363, 699, 1066, 395]"
555,"[1785, 1179, 618, 1758, 1753]"
556,"[1705, 1704, 1785, 1758, 11]"
557,"[1705, 1704, 1761, 1762, 1758]"
558,"[1704, 1705, 1762, 1758, 1761]"
559,"[1704, 1705, 1071, 1762, 413]"
560,"[1705, 1704, 1762, 344, 1752]"
561,"[1704, 1705, 1762, 108, 1758]"
562,"[1064, 836, 289, 1915, 1721]"
563,"[1705, 1704, 1758, 1513, 1772]"
564,"[1704, 1705, 1762, 1758, 1761]"
565,"[1704, 1705, 1752, 1025, 937]"
566,"[1071, 1704, 1705, 1748, 868]"
567,"[440, 1762, 310, 1758, 344]"
568,"[97, 1915, 411, 1900, 863]"
569,"[924, 1774, 1526, 1705, 1704]"
570,"[1015, 1203, 564, 562, 563]"
571,"[1704, 1705, 1916, 106, 928]"
572,"[1705, 1704, 1915, 937, 159]"
573,"[1704, 1705, 106, 409, 1915]"
574,"[1704, 1705, 372, 1157, 1769]"
575,"[1704, 1705, 868, 1915, 692]"
576,"[1704, 1705, 1301, 1855, 1821]"
577,"[1758, 1762, 1015, 1785, 1877]"
578,"[1907, 165, 1916, 1030, 175]"
579,"[1705, 1704, 321, 937, 1760]"
580,"[1030, 164, 1049, 1029, 1025]"
581,"[163, 952, 165, 979, 1045]"
582,"[1704, 1705, 1759, 1822, 83]"
583,"[1037, 937, 1029, 1040, 1916]"
584,"[1705, 1704, 1760, 454, 1761]"
585,"[1704, 1705, 1066, 1915, 411]"
586,"[979, 1202, 410, 1488, 175]"
587,"[1526, 102, 1746, 1915, 1529]"
588,"[1029, 1030, 1753, 1034, 1705]"
589,"[1705, 1704, 165, 1029, 1040]"
590,"[1015, 1762, 1758, 1297, 1785]"
591,"[1705, 1704, 1758, 1760, 1762]"
592,"[1062, 1120, 1705, 1704, 1650]"
593,"[1910, 564, 124, 563, 575]"
594,"[1753, 1068, 1488, 1915, 102]"
595,"[7, 11, 1760, 1762, 564]"
